OTU ID,A_1,E_1,A_3,C_1,B_1,E_3,F_3,E_2,C_3,C_2,D_3,B_3,B_2,D_1,D_2,F_2,A_2,F_1
OTU13270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
OTU15139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU9042,0,3,0,1,1,1,0,2,4,0,0,3,2,1,0,4,1,2
OTU15697,1,0,2,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0
OTU13260,2,3,1,3,0,2,5,0,0,0,2,3,1,1,0,0,0,3
OTU10902,19,54,119,29,67,25,68,82,34,31,63,63,48,134,110,106,35,64
OTU121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12430,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU126,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11315,26,16,32,19,24,49,17,11,21,17,30,33,38,20,42,5,35,26
OTU12370,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU3229,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
OTU14011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU3882,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OTU1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
OTU184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU10647,1,1,1,0,2,0,0,1,0,1,0,0,3,0,2,0,0,2
OTU15426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU11440,27,26,29,22,37,46,27,19,19,13,61,51,37,40,56,15,41,27
OTU3357,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
OTU3661,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OTU12814,0,1,1,0,3,1,1,3,2,0,1,2,1,0,0,1,0,0
OTU12815,5,21,20,13,18,8,10,26,16,11,15,12,10,10,17,12,20,8
OTU6372,1,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0
OTU7606,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OTU11695,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
OTU6140,9,7,3,9,2,5,2,3,13,5,9,4,4,2,8,5,7,2
OTU4026,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
OTU11771,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU1873,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
