,OTU9722,OTU12060,OTU11092,OTU9700,OTU10892,OTU8865,OTU11056,OTU11211,OTU11264,OTU10438,OTU9050,OTU10454,OTU9718,OTU9962,OTU8055,OTU9766,OTU10457,OTU12186,OTU9477,OTU9491,OTU10706,OTU11485,OTU9715,OTU10962,OTU11753,OTU8019,OTU9094,OTU8516,OTU8376,OTU11000,OTU9371,OTU9104,OTU9648,OTU7995,OTU9394,OTU11573,OTU8925,OTU10293,OTU8517,OTU10677,OTU8311,OTU11156,OTU9000,OTU9557,OTU11372,OTU8095,OTU9097,OTU8335,OTU3656,OTU8868,OTU5906,OTU9871,OTU9341,OTU9222,OTU11478,OTU5155,OTU8323,OTU8965,OTU9165,OTU8678,OTU9248,OTU9125,OTU8330,OTU9822,OTU10135,OTU9014,OTU10213,OTU11992,OTU9561,OTU9673,OTU9032,OTU11426,OTU10607,OTU9514,OTU10356,OTU9327,OTU10613,OTU14902,OTU9123,OTU8657,OTU10772,OTU9213,OTU1553,OTU13291,OTU8897,OTU2462,OTU8813,OTU9326,OTU15392,OTU15587,OTU9148,OTU6571,OTU10448,OTU9691,OTU9410,OTU8341,OTU2033,OTU9271,OTU11385,OTU8656,OTU3490,OTU10623,OTU8647,OTU9237,OTU8674,OTU9896,OTU5561,OTU11972,OTU10788,OTU11422,OTU11569,OTU10669,OTU8338,OTU8283,OTU11931,OTU10517,OTU10778,OTU9027,OTU8902,OTU8287,OTU9255,OTU8396,OTU8960,OTU9046,OTU9433,OTU6244,OTU11110,OTU9193,OTU5996,OTU10331,OTU10292,OTU11044,OTU10351,OTU8962,OTU11014,OTU15938,OTU9632,OTU8142,OTU9223,OTU9351,OTU9569,OTU10641,OTU11375,OTU8900,OTU9053,OTU8766,OTU8980,OTU11619,OTU10162,OTU11461,OTU10560,OTU10773,OTU7971,OTU8715,OTU8135,OTU9102,OTU9885,OTU14260,OTU9482,OTU8132,OTU8744,OTU8220,OTU8884,OTU15446,OTU8727,OTU6414,OTU9352,OTU12032,OTU8127,OTU8698,OTU11165,OTU11540,OTU10697,OTU9112,OTU8506,OTU5857,OTU8917,OTU9650,OTU9267,OTU10979,OTU8679,OTU8717,OTU6682,OTU9095,OTU11311,OTU10157,OTU8176,OTU8693,OTU9083,OTU10101,OTU6228,OTU3723,OTU10768,OTU11309,OTU10018,OTU16028,OTU9602,OTU9397,OTU8777,OTU11054,OTU5958,OTU8145,OTU10174,OTU383,OTU9098,OTU8153,OTU9057,OTU11049,OTU8941,OTU8092,OTU11463,OTU8098,OTU11395,OTU9816,OTU9417,OTU9137,OTU8701,OTU11666,OTU10747,OTU8912,OTU9234,OTU9152,OTU6791,OTU10875,OTU11192,OTU8959,OTU8522,OTU9935,OTU8570,OTU10573,OTU9360,OTU9270,OTU9625,OTU11168,OTU14816,OTU12507,OTU10817,OTU10716,OTU9829,OTU8890,OTU10926,OTU8736,OTU9459,OTU9918,OTU9231,OTU968,OTU8297,OTU9329,OTU10394,OTU9303,OTU3855,OTU837,OTU8284,OTU8991,OTU9549,OTU5881,OTU11589,OTU9701,OTU9409,OTU9395,OTU8877,OTU8564,OTU9541,OTU10055,OTU8505,OTU8202,OTU15590,OTU11028,OTU11741,OTU8130,OTU9162,OTU9353,OTU9775,OTU11043,OTU10153,OTU11384,OTU10712,OTU8855,OTU8372,OTU8700,OTU8439,OTU10443,OTU10400,OTU9553,OTU9651,OTU9589,OTU9771,OTU10732,OTU9220,OTU2451,OTU10934,OTU11067,OTU8128,OTU11625,OTU10206,OTU12943,OTU9494,OTU11279,OTU12740,OTU9490,OTU8729,OTU9512,OTU9376,OTU9915,OTU6609,OTU12464,OTU13892,OTU8257,OTU10059,OTU10428,OTU8017,OTU8538,OTU10902,OTU11315,OTU11440,OTU12815,OTU6140,OTU2561,OTU10948,OTU9560,OTU9285,OTU8848,OTU11378,OTU8857,OTU1025,OTU8879,OTU12748,OTU10555,OTU11764,OTU11145,OTU9504,OTU8811,OTU9283,OTU1125,OTU8186,OTU13081,OTU9654,OTU4043,OTU9260,OTU9240,OTU9721,OTU9187,OTU9134,OTU11253,OTU10606,OTU9418,OTU7331,OTU8801,OTU9189,OTU9049,OTU9293,OTU9093,OTU8908,OTU6162,OTU9470,OTU8702,OTU12837,OTU8710,OTU11455,OTU9230,OTU8839,OTU7957,OTU11568,OTU8714,OTU9422,OTU10158,OTU15002,OTU10742,OTU7137,OTU11034,OTU8891,OTU10262,OTU14880,OTU9633,OTU5097,OTU10796,OTU10982,OTU9689,OTU10045,OTU9377,OTU9259,OTU11483,OTU9241,OTU9077,OTU8099,OTU10129,OTU11206,OTU15592,OTU9028,OTU10657,OTU9815,OTU9430,OTU3835,OTU9865,OTU493,OTU9118,OTU10949,OTU8466,OTU8859,OTU7351,OTU10022,OTU11634,OTU10410,OTU3793,OTU12317,OTU8073,OTU8318,OTU11413,OTU8122,OTU8711,OTU10274,OTU211,OTU11806,OTU8030,OTU9533,OTU11903,OTU10178,OTU1023,OTU10826,OTU12704,OTU10431,OTU10401,OTU10936,OTU10246,OTU9708,OTU5870,OTU11709,OTU533,OTU9547,OTU11421,OTU558,OTU11642,OTU15529,OTU10810,OTU9202,OTU9551,OTU8309,OTU9431,OTU10039,OTU9629,OTU9595,OTU9458,OTU11662,OTU10558,OTU8035,OTU9196,OTU9178,OTU9145,OTU8285,OTU9843,OTU9752,OTU12632,OTU9833,OTU11527,OTU9645,OTU9563,OTU9011,OTU9174,OTU11380,OTU10169,OTU9528,OTU9464,OTU10545,OTU9139,OTU8803,OTU11508,OTU14594,OTU10985,OTU4265,OTU2815,OTU8544,OTU10281,OTU9334,OTU11409,OTU8079,OTU10200,OTU10468,OTU9091,OTU8640,OTU8843,OTU9594,OTU10387,OTU10228,OTU9554,OTU10040,OTU11425,OTU9161,OTU9484,OTU8514,OTU6902,OTU9147,OTU9604,OTU8881,OTU9532,OTU12751,OTU9607,OTU9920,OTU9324,OTU8907,OTU9564,OTU10165,OTU8786,OTU11125,OTU9990,OTU9335,OTU9734,OTU12678,OTU8388,OTU9882,OTU10998,OTU15501,OTU6178,OTU9769,OTU9453,OTU8003,OTU11359,OTU11416,OTU9733,OTU9034,OTU8440,OTU8894,OTU10630,OTU9945,OTU10533,OTU8305,OTU10714,OTU9388,OTU11854,OTU1332,OTU2503,OTU12035,OTU15407,OTU3862,OTU10089,OTU9570,OTU8741,OTU9993,OTU8866,OTU9328,OTU7715,OTU9069,OTU9065,OTU8134,OTU10840,OTU10605,OTU10322,OTU9966,OTU8402,OTU9300,OTU4998,OTU11370,OTU4126,OTU10933,OTU8682,OTU3924,OTU8459,OTU9026,OTU10011,OTU14860,OTU8800,OTU8246,OTU8873,OTU9457,OTU11898,OTU10668,OTU10233,OTU9191,OTU10662,OTU9596,OTU11048,OTU5466,OTU11288,OTU11280,OTU8379,OTU8716,OTU8380,OTU11176,OTU9250,OTU9576,OTU11492,OTU9585,OTU758,OTU127,OTU10220,OTU15075,OTU11154,OTU8790,OTU8936,OTU9101,OTU9284,OTU10512,OTU10216,OTU8568,OTU9404,OTU9121,OTU10642,OTU8607,OTU11832,OTU15424,OTU12498,OTU9601,OTU3899,OTU8430,OTU12377,OTU9359,OTU9062,OTU9345,OTU9770,OTU10204,OTU10912,OTU11313,OTU7383,OTU11172,OTU9175,OTU9520,OTU10155,OTU9181,OTU9035,OTU11562,OTU9586,OTU9025,OTU9552,OTU8911,OTU9925,OTU14165,OTU3465,OTU9498,OTU11337,OTU8508,OTU9176,OTU9136,OTU8018,OTU9071,OTU3176,OTU10884,OTU9429,OTU8370,OTU10535,OTU8689,OTU10104,OTU10661,OTU9446,OTU9995,OTU8541,OTU8791,OTU8575,OTU11170,OTU11556,OTU10649,OTU8988,OTU10240,OTU9301,OTU8957,OTU15744,OTU9955,OTU9462,OTU6802,OTU10731,OTU10972,OTU1771,OTU9269,OTU12275,OTU8463,OTU3018,OTU9873,OTU7646,OTU9472,OTU10063,OTU8616,OTU5783,OTU9980,OTU8460,OTU4122,OTU10583,OTU10523,OTU7244,OTU10900,OTU6637,OTU12251,OTU8010,OTU8413,OTU8971,OTU9524,OTU3743,OTU8457,OTU9001,OTU11155,OTU11270,OTU11053,OTU9323,OTU9252,OTU7964,OTU11299,OTU9468,OTU9530,OTU11415,OTU10717,OTU9316,OTU10584,OTU11358,OTU10385,OTU10720,OTU11073,OTU9295,OTU10106,OTU9064,OTU9656,OTU8315,OTU11391,OTU9973,OTU10599,OTU9763,OTU8403,OTU8939,OTU9076,OTU12161,OTU9550,OTU10792,OTU9210,OTU9367,OTU10278,OTU9113,OTU8882,OTU9739,OTU8228,OTU10821,OTU15430,OTU7984,OTU8883,OTU8235,OTU10112,OTU8557,OTU9835,OTU10282,OTU8850,OTU10413,OTU14689,OTU8783,OTU9273,OTU15288,OTU14720,OTU9546,OTU9288,OTU9939,OTU13667,OTU13055,OTU9454,OTU9172,OTU8049,OTU9286,OTU6772,OTU8004,OTU9116,OTU11598,OTU14966,OTU14664,OTU10210,OTU9851,OTU12561,OTU9233,OTU9592,OTU8359,OTU9110,OTU10264,OTU9343,OTU14842,OTU10163,OTU9117,OTU13743,OTU10248,OTU5150,OTU9452,OTU11545,OTU9619,OTU10286,OTU1638,OTU7959,OTU9774,OTU15589,OTU4115,OTU8655,OTU5835,OTU10480,OTU9898,OTU10656,OTU7970,OTU8256,OTU9332,OTU11178,OTU10894,OTU9362,OTU10057,OTU10280,OTU10501,OTU9135,OTU8646,OTU9764,OTU4686,OTU9584,OTU11566,OTU9817,OTU11779,OTU8847,OTU8931,OTU11286,OTU11788,OTU10490,OTU15630,OTU9723,OTU11177,OTU10550,OTU9169,OTU10617,OTU10000,OTU9740,OTU6662,OTU7981,OTU9396,OTU8397,OTU8875,OTU9276,OTU10307,OTU10434,OTU10828,OTU9963,OTU9979,OTU8799,OTU12101,OTU8668,OTU9166,OTU8139,OTU10260,OTU4198,OTU10014,OTU8501,OTU10855,OTU9859,OTU9782,OTU8967,OTU10499,OTU8637,OTU12887,OTU12038,OTU9445,OTU9325,OTU9385,OTU3746,OTU10552,OTU8360,OTU9683,OTU9224,OTU11489,OTU8639,OTU8267,OTU9475,OTU9184,OTU9007,OTU11242,OTU11083,OTU10034,OTU9653,OTU10549,OTU8972,OTU15209,OTU8686,OTU11536,OTU10365,OTU8998,OTU8076,OTU8535,OTU10579,OTU9073,OTU8240,OTU11495,OTU10185,OTU10405,OTU9496,OTU9156,OTU8767,OTU11292,OTU10983,OTU8913,OTU10412,OTU9154,OTU8395,OTU7989,OTU10444,OTU9194,OTU8904,OTU10868,OTU9901,OTU8530,OTU11649,OTU9622,OTU9024,OTU9366,OTU10449,OTU14989,OTU10184,OTU9664,OTU13375,OTU11596,OTU8387,OTU10570,OTU9344,OTU10347,OTU5675,OTU9155,OTU11474,OTU8869,OTU10883,OTU10134,OTU8620,OTU14985,OTU8576,OTU9573,OTU10899,OTU8772,OTU9080,OTU9487,OTU8609,OTU9931,OTU9600,OTU6638,OTU8927,OTU8898,OTU8023,OTU11627,OTU9171,OTU11219,OTU10273,OTU9505,OTU12553,OTU11644,OTU8856,OTU8880,OTU10612,OTU8989,OTU8271,OTU8320,OTU8565,OTU15142,OTU8292,OTU8867,OTU9726,OTU9312,OTU10208,OTU10491,OTU11730,OTU11116,OTU8091,OTU10250,OTU8977,OTU10175,OTU11148,OTU9421,OTU2417,OTU10966,OTU9887,OTU9807,OTU3596,OTU11138,OTU9902,OTU15618,OTU11585,OTU9126,OTU9039,OTU8667,OTU8146,OTU8583,OTU11441,OTU10719,OTU9789,OTU10785,OTU8944,OTU11105,OTU9630,OTU10241,OTU9218,OTU9037,OTU12639,OTU9142,OTU11406,OTU9503,OTU11565,OTU10050,OTU9425,OTU10838,OTU10392,OTU10406,OTU13965,OTU15572,OTU9207,OTU9198,OTU9671,OTU11256,OTU10010,OTU8951,OTU9392,OTU10073,OTU3997,OTU9730,OTU11557,OTU2741,OTU9031,OTU11184,OTU9717,OTU8177,OTU8455,OTU7960,OTU8410,OTU10947,OTU8454,OTU8261,OTU9008,OTU10769,OTU10429,OTU1693,OTU8011,OTU8482,OTU8932,OTU11606,OTU9361,OTU8590,OTU11108,OTU9186,OTU9209,OTU12402,OTU8456,OTU9841,OTU11203,OTU1301,OTU11272,OTU11023,OTU9869,OTU4005,OTU8272,OTU11166,OTU10098,OTU9929,OTU9257,OTU15449,OTU8915,OTU11647,OTU9545,OTU10046,OTU10320,OTU11563,OTU9261,OTU8242,OTU9151,OTU8119,OTU10806,OTU12176,OTU9229,OTU12333,OTU8567,OTU12105,OTU8870,OTU8075,OTU15442,OTU10372,OTU11241,OTU9047,OTU8958,OTU10477,OTU7972,OTU8940,OTU8394,OTU10226,OTU10793,OTU12005,OTU9839,OTU9672,OTU9991,OTU9747,OTU8948,OTU10887,OTU9411,OTU11175,OTU9880,OTU15164,OTU10988,OTU1756,OTU7962,OTU8862,OTU9444,OTU9957,OTU8942,OTU10374,OTU9732,OTU10489,OTU10958,OTU11899,OTU14206,OTU9640,OTU10451,OTU9009,OTU9164,OTU12184,OTU8109,OTU10919,OTU8680,OTU11578,OTU1613,OTU8895,OTU9074,OTU8804,OTU10461,OTU8484,OTU9838,OTU8731,OTU8696,OTU11149,OTU10420,OTU8921,OTU15027,OTU8170,OTU11755,OTU8422,OTU11215,OTU9432,OTU8404,OTU9527,OTU10139,OTU8919,OTU10142,OTU9020,OTU12099,OTU9587,OTU9581,OTU1691,OTU8963,OTU8763,OTU8993,OTU9423,OTU12027,OTU10999,OTU8794,OTU3937,OTU7988,OTU9461,OTU922,OTU9030,OTU9778,OTU9347,OTU10235,OTU8273,OTU10940,OTU3081,OTU11496,OTU8874,OTU10629,OTU9263,OTU7575,OTU8864,OTU4844,OTU9603,OTU8828,OTU3721,OTU15133,OTU5527,OTU12711,OTU8515,OTU9874,OTU4147,OTU9830,OTU11938,OTU9282,OTU10622,OTU2913,OTU9247,OTU8955,OTU5985,OTU9488,OTU9845,OTU3843,OTU9543,OTU9246,OTU8434,OTU9447,OTU9434,OTU8539,OTU8627,OTU9591,OTU10980,OTU9018,OTU15232,OTU10698,OTU8835,OTU1497,OTU11305,OTU8524,OTU8982,OTU14291,OTU10540,OTU11295,OTU9489,OTU9289,OTU9350,OTU8979,OTU11236,OTU9088,OTU9063,OTU11265,OTU9306,OTU10753,OTU10136,OTU8630,OTU12423,OTU8676,OTU9221,OTU9922,OTU8325,OTU10686,OTU10911,OTU8214,OTU10627,OTU10536,OTU8652,OTU9437,OTU11553,OTU11123,OTU8447,OTU3387,OTU11212,OTU11402,OTU11436,OTU8300,OTU8107,OTU10458,OTU8822,OTU11480,OTU9420,OTU10723,OTU9597,OTU3544,OTU8675,OTU14245,OTU579,OTU11484,OTU9203,OTU11312,OTU170,OTU1086,OTU9857,OTU10202,OTU9844,OTU10170,OTU9107,OTU12127,OTU11876,OTU8934,OTU9969,OTU8966,OTU12821,OTU10791,OTU11287,OTU8487,OTU929,OTU8468,OTU10678,OTU8247,OTU9249,OTU9103,OTU9313,OTU8326,OTU8503,OTU9568,OTU9041,OTU10816,OTU10330,OTU10253,OTU8968,OTU10192,OTU11458,OTU7998,OTU8013,OTU8131,OTU10214,OTU9253,OTU9756,OTU10003,OTU8100,OTU7611,OTU10049,OTU9525,OTU15584,OTU10891,OTU8527,OTU8833,OTU12866,OTU9005,OTU9167,OTU6039,OTU8260,OTU2867,OTU10789,OTU69,OTU9949,OTU8878,OTU9059,OTU9372,OTU9274,OTU8278,OTU9056,OTU9483,OTU11420,OTU9799,OTU9852,OTU8299,OTU898,OTU9485,OTU11950,OTU9304,OTU10538,OTU10096,OTU9127,OTU10221,OTU11909,OTU4523,OTU7015,OTU14020,OTU14451,OTU10354,OTU9811,OTU9914,OTU12768,OTU8094,OTU9517,OTU9534,OTU10824,OTU9574,OTU4698,OTU11135,OTU8629,OTU9500,OTU12626,OTU10809,OTU10181,OTU8983,OTU8241,OTU11542,OTU8947,OTU11097,OTU11235,OTU10925,OTU9379,OTU11259,OTU13097,OTU11099,OTU8354,OTU6705,OTU9015,OTU14076,OTU2984,OTU9510,OTU10515,OTU10333,OTU10120,OTU10380,OTU10189,OTU6726,OTU10230,OTU8796,OTU11481,OTU9262,OTU11282,OTU10703,OTU9436,OTU8841,OTU15303,OTU9975,OTU12968,OTU8571,OTU11020,OTU10960,OTU13712,OTU15158,OTU11089,OTU10379,OTU8812,OTU11323
A_1,220,2,13,19,14,20,6,16,65,232,0,10,65,1,20,8,1,29,46,69,7,46,9,24,5,300,41,60,45,49,18,13,8,3,299,4,5,0,552,4,1,134,33,3,8,8,16,1,11,63,1,1,7,4,66,21,9,3,7,2,8,21,2,8,0,21,12,0,102,28,9,32,16,6,3,96,26,5,25,46,15,13,0,18,6,14,3,1,7,1,3,1,7,13,113,24,6,7,101,27,41,4,35,8,61,8,0,3,3,15,236,16,158,3,8,3,54,1,16,13,5,10,35,33,2,7,7,16,53,3,0,13,38,6,13,6,30,0,9,31,5,146,399,3,5,46,0,1,88,409,5,453,8,3,5,6,9,17,9,12,5,9,8,2,9,0,20,4,12,19,5,0,6,6,12,8,72,41,52,6,8,15,78,11,11,17,15,23,45,2,2,19,267,1,11,27,2,16,6,12,8,140,23,37,8,17,50,37,5,7,22,22,54,8,61,7,61,1,18,17,16,10,19,3,4,0,139,16,6,13,162,10,8,1,13,42,5,39,17,0,12,14,51,35,11,94,8,17,55,12,0,3,274,10,18,102,18,14,3,4,10,8,41,26,21,15,20,5,6,2,138,90,28,26,1,22,10,3,8,52,51,41,10,35,8,5,13,353,55,5,10,10,11,2,23,12,3,75,55,39,238,3,37,0,77,7,11,58,7,4,17,48,19,26,27,5,9,9,22,160,17,15,17,8,4,6,6,2,3,11,3,18,4,49,18,1,173,0,4,30,9,261,17,424,5,0,18,2,20,100,5,17,18,24,18,9,11,0,2,50,14,7,3,128,25,123,0,9,1,5,1,28,0,14,88,0,19,16,39,8,11,58,5,26,31,25,15,10,15,8,4,5,7,77,18,1,80,72,23,9,7,8,29,9,13,18,4,18,3,17,13,16,9,141,402,2,22,42,7,8,15,13,3,30,25,41,3,5,3,44,31,1,14,16,7,579,12,39,23,22,144,33,5,16,12,19,4,0,115,39,82,0,0,53,0,0,6,7,6,424,9,12,3,12,14,13,10,24,4,8,46,10,17,26,1,39,19,38,13,32,16,11,53,0,8,7,10,4,0,156,58,1,5,8,2,28,2,10,170,3,14,26,9,12,3,5,30,13,6,20,113,7,3,6,0,11,8,0,24,209,3,12,10,5,0,40,18,12,7,2,14,0,8,85,1,20,6,17,9,5,50,2,3,33,60,1,15,22,6,7,5,22,7,56,6,98,32,26,6,5,5,2,12,3,125,12,58,16,3,24,4,6,9,9,16,75,19,155,69,13,75,26,8,50,9,1,114,20,14,21,8,173,6,8,5,8,91,9,0,9,4,1,2,1,4,465,27,11,38,6,6,6,9,28,39,1,70,12,6,4,24,14,49,40,20,6,41,6,313,3,16,11,48,17,3,7,157,3,140,127,2,84,1,16,71,30,31,1,19,39,3,11,18,8,4,18,1,8,3,7,4,1,9,12,7,4,26,9,9,9,6,81,2,12,36,13,11,23,12,13,113,1,6,9,18,228,37,4,8,75,10,6,70,18,19,6,24,1,7,23,1,4,0,21,56,44,10,354,0,41,0,1,3,226,27,6,2,148,10,25,11,11,19,25,33,20,17,16,9,13,71,9,34,15,2,1,25,6,1,2,15,17,1,12,4,18,8,22,10,3,6,14,8,18,3,30,22,36,2,17,6,12,23,50,1,9,9,0,3,91,2,11,10,25,18,1,23,46,7,22,3,15,4,1,16,266,15,15,3,36,8,4,1,23,7,11,11,7,9,10,0,3,29,4,0,4,21,2,17,27,4,11,37,35,12,18,27,23,8,70,0,8,2,87,69,12,90,1,2,507,13,17,1,24,17,20,29,17,229,0,13,113,9,79,69,26,51,3,3,69,85,43,9,13,10,59,9,97,18,22,81,28,9,4,8,29,7,11,6,0,52,6,16,306,62,15,76,92,25,3,31,19,33,16,2,0,7,9,16,9,8,5,10,176,41,237,42,19,132,6,19,14,9,13,24,11,2,4,2,9,8,2,44,4,22,10,1,11,5,0,25,34,147,22,9,29,14,10,5,20,16,3,37,10,83,10,3,20,25,9,328,0,23,22,5,1,212,1,5,1,3,218,10,13,14,4,5,3,176,63,0,18,7,5,57,21,31,994,16,3,0,43,10,5,73,80,5,8,11,3,23,10,6,12,6,21,13,15,156,5,8,15,5,253,7,12,8,2,8,30,0,21,32,158,26,7,64,20,49,12,9,7,15,296,38,9,12,18,9,15,24,33,38,13,1,54,19,25,10,18,16,0,15,56,12,7,18,0,0,0,1,1,25,31,1,1,76,11,8,55,14,41,83,32,7,12,0,1,7,12,8,11,5,12,4,11,6,18,111,16,6,6,0,15,117,59,12,48,10,6,8,11,5,2,73,72,11,1507,6,1,2,3,18,15,8,46,29,6,6,8,5,4,9,279,2,26,26,2,5,7,2,6,105,9,19,10,17,9,14,28,3,3,11,3,18,8,26,6,9,52,5,14,6,9,21,16,5,67,6,17,0,86,15,3,2,14,3,38,5,4,11,2,16,17,3,40,4,2,0,2,4,13,6,28,8,4,60,2,16,786,10,8,32,44,6,19,55,18,4,311,103,4,4,115,37,7,22,4,35,26,20,27,19,14,11,11,24,46,2,40,43,4,34,17,16,51,6,21,21,28,33,10,2,51,13,16,6,54,239,5,0,7,0,0,17,1,23,14,7,6,90,9,28,0,3,38,5,1,48,11,6,22,3,47,0,11,0,66,4,22,2,1,26,7,5,16,1,17,5,10,147,20,11,24,4,61,3,20,15,25,123,27,0,25,8,0,2,333,113,10,2,17,1,42,5,22,8,21,19,3,5,23,36,229,15,8,3,32,37,2,37,18,22,17,11,20,67,32,3,6,82,12,9,1,33,127,205,43,14,9,19,1,7,11,3,10,6,15,9,42,20,54,16,25,8,8,7,2,5,12,54,95,44,37,0,8,180,17,4,5,5,15,10,20,15,13,33,2,82,37,0,25,6,11,6,19,128,58,173,119,14,34,2,4,9,38,241,8,3,12,11,0,7
E_1,548,2,14,56,6,13,21,22,69,404,7,19,67,5,46,24,4,7,38,87,11,108,19,65,1,324,30,173,122,44,11,15,8,11,119,36,18,16,472,17,57,273,91,6,8,17,11,2,0,47,4,18,14,29,25,10,4,7,12,18,5,9,5,50,4,7,16,3,82,22,29,22,30,9,13,87,47,4,9,21,7,15,2,11,16,10,8,9,9,4,4,2,16,10,55,68,7,6,97,33,2,21,22,7,69,18,1,5,9,5,140,7,133,6,7,15,44,14,9,21,8,25,43,32,1,3,4,48,55,11,5,3,32,9,11,3,35,3,6,77,6,103,612,10,12,43,18,6,50,210,7,301,10,22,26,19,15,12,21,3,14,8,6,5,31,1,10,14,13,8,51,4,7,19,35,3,45,45,43,9,0,8,19,34,7,21,41,3,28,10,16,2,88,17,35,11,7,46,24,14,12,146,43,9,17,46,56,31,5,17,29,60,42,13,11,19,88,4,30,9,11,14,17,17,5,12,393,14,3,6,389,3,18,7,3,6,3,13,14,7,4,50,177,32,36,61,34,36,49,13,2,11,125,17,26,93,20,11,9,10,24,2,82,20,20,7,3,30,11,7,225,42,21,24,2,13,10,4,5,25,12,25,23,35,14,15,10,185,36,18,12,19,11,5,13,6,22,61,17,41,329,14,33,9,47,7,9,36,20,12,28,40,54,16,26,21,7,14,12,164,4,22,20,12,7,21,4,3,6,11,14,18,13,27,8,8,200,1,12,51,10,142,6,549,4,7,13,11,19,73,10,12,13,22,19,12,6,23,1,88,25,23,12,70,22,31,3,1,4,26,29,13,0,13,52,16,15,13,40,8,40,33,13,18,26,9,15,8,6,8,4,11,15,60,33,6,49,37,70,13,18,24,29,45,1,6,8,13,16,4,18,16,11,69,310,3,9,44,26,11,9,59,8,28,19,94,8,5,14,52,52,11,8,28,12,485,17,24,20,25,266,23,10,7,7,12,11,4,82,20,57,5,3,66,4,40,29,7,9,292,19,16,6,33,11,12,9,32,4,1,20,13,32,38,18,26,28,17,18,28,22,20,56,8,17,6,13,15,1,7,39,4,14,8,23,15,1,8,93,9,22,48,8,3,18,11,9,6,7,23,48,6,4,23,12,17,1,20,6,113,6,17,16,1,4,36,18,4,5,4,4,6,5,79,4,14,8,29,3,11,93,5,14,47,11,4,2,13,14,13,30,7,21,25,18,58,8,25,4,22,26,7,4,8,61,11,29,6,11,20,5,14,24,24,11,80,43,85,39,11,16,64,3,61,12,32,95,19,6,21,23,152,5,10,19,13,50,1,12,6,7,0,2,7,12,133,48,33,43,10,10,5,9,30,45,8,39,8,7,10,27,15,26,41,38,32,23,21,131,9,33,13,21,9,20,7,211,15,113,197,12,38,4,6,35,32,53,2,18,12,12,18,10,2,20,24,5,18,9,6,16,1,6,10,7,0,16,7,6,12,14,112,10,12,24,2,12,4,7,19,117,7,18,12,39,172,61,8,5,32,14,9,70,23,45,15,18,3,10,28,11,13,3,23,24,92,5,339,8,16,3,11,17,182,20,7,8,97,16,20,17,11,35,31,27,27,6,7,10,17,17,10,30,10,5,6,0,20,2,11,7,35,4,10,8,9,39,22,3,5,7,20,4,42,5,28,44,24,2,3,9,6,22,39,27,9,8,17,4,84,10,44,12,17,15,2,16,33,8,17,5,15,12,6,59,26,22,35,7,17,7,2,7,39,6,22,53,17,24,8,10,5,39,12,7,3,1,7,18,30,12,9,15,42,9,57,25,21,20,121,9,6,47,160,52,13,215,4,4,406,10,8,5,9,20,7,11,16,202,11,12,88,6,105,61,19,53,8,7,41,86,35,54,26,11,76,4,102,13,21,264,120,10,4,12,10,4,58,11,6,44,18,14,208,137,16,89,36,44,10,15,14,12,31,5,7,10,3,11,5,6,42,5,201,54,135,35,7,104,7,41,32,9,33,25,18,0,14,4,15,6,1,28,7,3,22,2,11,19,4,42,78,139,48,16,81,3,12,5,15,16,1,27,3,62,23,9,28,30,7,328,0,7,18,16,1,189,7,7,6,14,133,3,8,3,14,14,9,93,64,50,25,20,14,57,67,28,316,4,3,13,31,23,9,76,82,9,5,12,4,7,14,31,15,8,47,25,12,60,7,43,10,25,186,9,11,13,13,14,23,9,30,19,117,71,21,37,12,52,8,12,14,45,164,32,12,3,2,20,9,19,24,11,29,5,73,21,5,2,65,13,0,24,41,22,25,9,1,11,3,6,1,9,16,9,12,46,23,16,41,19,54,149,4,16,8,12,1,21,7,3,20,5,25,8,10,20,27,85,32,10,34,10,14,6,21,40,12,7,7,7,7,9,10,24,70,88,669,16,11,10,6,48,5,15,12,17,3,12,3,12,14,8,203,0,15,39,11,16,13,7,8,113,23,15,22,20,21,1,14,9,18,10,9,15,9,31,14,6,135,4,10,12,35,24,21,12,89,4,3,2,62,9,16,18,13,17,41,8,28,37,18,25,15,20,16,7,4,0,8,0,9,2,45,15,1,70,1,8,473,24,9,50,23,13,66,28,14,1,254,116,3,11,141,28,18,15,7,80,62,60,23,7,42,6,7,14,31,6,19,4,8,34,9,8,127,11,26,69,29,4,11,2,15,17,12,57,158,153,1,13,23,6,5,19,12,12,5,13,7,81,35,35,6,4,35,1,4,71,15,7,13,17,41,10,6,17,18,1,14,5,0,4,7,7,2,2,14,8,0,98,19,18,7,9,30,5,9,7,7,115,36,10,9,12,2,10,391,262,16,12,13,5,31,8,21,21,3,4,44,10,41,9,186,9,9,8,27,21,8,21,32,15,14,26,21,38,13,5,7,94,10,6,16,27,155,242,67,17,2,10,13,7,12,4,5,30,9,3,62,45,20,16,32,15,4,12,8,8,9,9,112,42,14,2,20,87,14,11,8,16,12,5,37,11,12,121,18,49,40,3,11,10,17,8,3,82,53,130,152,2,89,14,19,8,57,168,38,8,18,6,3,8
